Category,Food Name,Detailed English Description
MEAT,Galbi,"Grilled beef short ribs marinated in a sweet and savory sauce typically made with soy sauce, garlic, and sugar. Known for its rich flavor and tender texture."
MEAT,Bulgogi,"Thinly sliced, marinated beef grilled or pan-fried. The marinade is a blend of soy sauce, sugar, sesame oil, and garlic, giving it a mildly sweet and smoky flavor."
MEAT,Korean Style Chicken,"Deep-fried chicken pieces coated in a variety of sauces. Popular styles include soy garlic, spicy gochujang-based, or plain crispy. Often served as a snack or main dish."
SEAFOOD,Cocktail Shrimp,"Chilled, peeled, and deveined shrimp typically served on a platter with a spicy cocktail sauce (ketchup, horseradish, lemon juice). A classic appetizer."
SEAFOOD,Shrimp with Garlic Butter,"Shrimp sautéed in melted butter infused with minced garlic and herbs. A rich, aromatic, and savory preparation."
SEAFOOD,Teriyaki Salmon,"Salmon fillet glazed with a sweet and savory Teriyaki sauce (soy sauce, mirin, sugar). The fish is usually grilled or baked, resulting in a slightly caramelized exterior."
SEAFOOD,Smoked Salmon with Cream Cheese,"Thin slices of cured and smoked salmon served with a spread of soft cream cheese, often on a bagel or cracker, and sometimes garnished with capers or dill."
SEAFOOD,Buttered Cod,"Cod fish fillet baked or pan-fried, basted with melted butter. A simple preparation that highlights the flaky texture and mild flavor of the cod."
SEAFOOD,Honey Glazed Cod,Cod fish fillet coated with a sticky and sweet glaze made primarily from honey. The glaze adds a delicate sweetness to the mild-flavored fish.
SEAFOOD,Crab Cakes,"Patties made from lump crab meat, bread crumbs, mayonnaise, and seasoning, which are then pan-fried or baked until golden brown."
VEGETABLE,"Stir Fried Mushrooms (Shiitake, Oyster, Enoki, etc.)","A medley of various mushrooms (like Shiitake, Oyster, and Enoki) quickly sautéed with seasonings, often soy sauce and garlic, for an earthy and umami-rich side dish."
VEGETABLE,Spicy Green Bean,"Fresh green beans quickly sautéed or blanched and then tossed in a spicy sauce or seasoning, often containing chili flakes or Sriracha."
VEGETABLE,Stir-fry Bok Choy,Bok choy (Chinese cabbage) quickly sautéed in a wok or pan with garlic and often a light sauce made from soy sauce or oyster sauce. It retains a crisp texture.
RICE & NOODLES,California Roll,"A popular inside-out sushi roll typically containing crab meat (often imitation crab/surimi), cucumber, and avocado, wrapped in nori (seaweed) and rice."
RICE & NOODLES,Steamed Rice,"Plain, cooked white rice (usually short-grain), prepared by steaming until soft and fluffy. A staple side dish for many meals."
RICE & NOODLES,Fried Rice (Chicken or Shrimp),"Cooked rice stir-fried in a wok with egg, chopped vegetables (e.g., peas, carrots, onions), soy sauce, and your choice of diced chicken or small shrimp."
RICE & NOODLES,Lo Mein (Chicken or Shrimp),"Chinese egg noodles tossed and stir-fried with vegetables (e.g., cabbage, carrots) and a savory sauce, featuring either sliced chicken or shrimp as the main protein."
RICE & NOODLES,Buckwheat Cold Noodles with Vegetable,"Chilled buckwheat noodles (Naengmyeon) served in a tangy, chilled broth, topped with sliced pickled radish, cucumber, and sometimes a hard-boiled egg."
RICE & NOODLES,Dumplings (Mandu) & Rolls,"Korean dumplings (Mandu) filled with seasoned mixtures of ground meat (pork/beef) and vegetables, and various types of savory rolls (e.g., spring rolls)."
RICE & NOODLES,Steamed or Fried Mandu,"Korean dumplings that are either steamed for a soft, chewy texture or pan-fried (potstickers/Gun Mandu) for a crispy exterior and tender filling."
RICE & NOODLES,Vegetable Eggrolls,"Crispy, deep-fried rolls with a thin wheat flour wrapper, typically filled with a shredded mix of cabbage, carrots, and other vegetables."
SALAD,Garden Salad,"A simple mixed green salad made from lettuce, tomatoes, cucumbers, and other raw vegetables, often served with a choice of dressing."
SALAD,Chicken Salad,"A creamy salad made from shredded or diced cooked chicken, mayonnaise, and various seasonings, often including celery and onions."
SALAD,Tuna Salad,"A creamy salad made from flaked canned tuna, mayonnaise, and various seasonings, often including celery and relish."
SALAD,Egg Salad,"A creamy salad made from chopped hard-boiled eggs, mayonnaise, mustard, and seasonings."
FRUITS & CHEESE,Fruits & Cheese,"An assortment of fresh, seasonal fruits (e.g., grapes, melon, berries) paired with a selection of cheeses (e.g., cheddar, brie, provolone)."
